"Status","Year","Age","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","50","50","22090","21250"
"In post","2022","16-19","East of England","45","45","22510","21680"
"In post","2022","16-19","London","145","140","25510","25170"
"In post","2022","16-19","North East (England)","75","75","21860","21250"
"In post","2022","16-19","North West (England)","150","150","22160","21260"
"In post","2022","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","140","135","21550","21250"
"In post","2022","16-19","South East (England)","135","130","22390","21680"
"In post","2022","16-19","South West (England)","175","175","19570","19460"
"In post","2022","16-19","Unknown","35","35","18030","16720"
"In post","2022","16-19","Wales","140","125","20250","19450"
"In post","2022","16-19","West Midlands (England)","70","65","22080","21260"
"In post","2022","16-19","Yorkshire and The Humber","105","105","22060","21260"
"In post","2022","20-29","East Midlands (England)","3495","3435","26120","25480"
"In post","2022","20-29","East of England","3045","3000","26760","26140"
"In post","2022","20-29","London","23955","23800","36640","33710"
"In post","2022","20-29","North East (England)","4600","4505","26310","25000"
"In post","2022","20-29","North West (England)","9765","9610","26630","25120"
"In post","2022","20-29","Northern Ireland","555","545","25460","24500"
"In post","2022","20-29","Overseas","325","325","35670","33230"
"In post","2022","20-29","Scotland","7555","7420","27530","26590"
"In post","2022","20-29","South East (England)","5895","5815","27660","27010"
"In post","2022","20-29","South West (England)","7350","7255","27750","27000"
"In post","2022","20-29","Unknown","805","800","29380","28980"
"In post","2022","20-29","Wales","5505","5390","26380","24730"
"In post","2022","20-29","West Midlands (England)","5090","4995","26480","25120"
"In post","2022","20-29","Yorkshire and The Humber","6640","6530","27230","26350"
"In post","2022","30-39","East Midlands (England)","4635","4355","29990","27570"
"In post","2022","30-39","East of England","4195","3950","30830","29290"
"In post","2022","30-39","London","25205","24495","46210","42470"
"In post","2022","30-39","North East (England)","6925","6495","29980","27130"
"In post","2022","30-39","North West (England)","13700","13030","30550","27570"
"In post","2022","30-39","Northern Ireland","1005","965","30160","26820"
"In post","2022","30-39","Overseas","1035","1030","46720","49920"
"In post","2022","30-39","Scotland","11640","11165","33480","30830"
"In post","2022","30-39","South East (England)","7790","7370","32090","29580"
"In post","2022","30-39","South West (England)","10050","9505","34440","33000"
"In post","2022","30-39","Unknown","665","655","36750","32700"
"In post","2022","30-39","Wales","9210","8675","30940","27570"
"In post","2022","30-39","West Midlands (England)","7070","6700","30470","27570"
"In post","2022","30-39","Yorkshire and The Humber","8410","7905","32050","27570"
"In post","2022","40-49","East Midlands (England)","5305","4925","32430","27570"
"In post","2022","40-49","East of England","5295","4915","32880","29290"
"In post","2022","40-49","London","22775","21675","48960","43810"
"In post","2022","40-49","North East (England)","8020","7410","31620","27570"
"In post","2022","40-49","North West (England)","15195","14180","32150","27570"
"In post","2022","40-49","Northern Ireland","1085","1030","30700","26820"
"In post","2022","40-49","Overseas","1155","1145","52570","54020"
"In post","2022","40-49","Scotland","11365","10735","36480","31540"
"In post","2022","40-49","South East (England)","9250","8675","34490","30730"
"In post","2022","40-49","South West (England)","10530","9910","37660","33900"
"In post","2022","40-49","Unknown","660","645","39170","33570"
"In post","2022","40-49","Wales","9140","8550","34440","29430"
"In post","2022","40-49","West Midlands (England)","7640","7140","33530","27570"
"In post","2022","40-49","Yorkshire and The Humber","9080","8445","34610","30820"
"In post","2022","50-59","East Midlands (England)","7060","6590","32190","27570"
"In post","2022","50-59","East of England","7405","6985","32800","29290"
"In post","2022","50-59","London","24145","23305","45250","38360"
"In post","2022","50-59","North East (England)","9645","8700","30710","27570"
"In post","2022","50-59","North West (England)","18825","17500","31870","27570"
"In post","2022","50-59","Northern Ireland","1245","1190","30640","26820"
"In post","2022","50-59","Overseas","965","960","52380","52400"
"In post","2022","50-59","Scotland","14930","13985","34760","29900"
"In post","2022","50-59","South East (England)","13510","12680","33480","29290"
"In post","2022","50-59","South West (England)","13485","12805","37090","33300"
"In post","2022","50-59","Unknown","865","845","39420","34290"
"In post","2022","50-59","Wales","9930","9285","33740","27570"
"In post","2022","50-59","West Midlands (England)","9690","9040","32300","27570"
"In post","2022","50-59","Yorkshire and The Humber","11335","10550","33640","28430"
"In post","2022","60-64","East Midlands (England)","1965","1635","29130","27130"
"In post","2022","60-64","East of England","2190","1885","30550","27570"
"In post","2022","60-64","London","6180","5530","41070","33910"
"In post","2022","60-64","North East (England)","3130","2365","27460","22510"
"In post","2022","60-64","North West (England)","5255","4200","28910","26820"
"In post","2022","60-64","Northern Ireland","270","235","28480","25310"
"In post","2022","60-64","Overseas","175","175","56030","54330"
"In post","2022","60-64","Scotland","4250","3410","31610","27570"
"In post","2022","60-64","South East (England)","4335","3650","31250","27570"
"In post","2022","60-64","South West (England)","3830","3285","34380","30160"
"In post","2022","60-64","Unknown","230","210","37480","33570"
"In post","2022","60-64","Wales","3015","2390","30530","26820"
"In post","2022","60-64","West Midlands (England)","2815","2325","30090","27570"
"In post","2022","60-64","Yorkshire and The Humber","2925","2330","30000","27570"
"In post","2022","65+","East Midlands (England)","490","375","29250","26780"
"In post","2022","65+","East of England","755","580","29890","27370"
"In post","2022","65+","London","2425","2005","37780","31060"
"In post","2022","65+","North East (England)","710","515","25670","22080"
"In post","2022","65+","North West (England)","1405","1030","28040","26120"
"In post","2022","65+","Northern Ireland","90","75","26700","21680"
"In post","2022","65+","Overseas","30","30","44570","34710"
"In post","2022","65+","Scotland","1130","850","30350","26900"
"In post","2022","65+","South East (England)","1715","1340","30170","26830"
"In post","2022","65+","South West (England)","1290","1015","31910","27570"
"In post","2022","65+","Unknown","55","45","33920","30780"
"In post","2022","65+","Wales","960","690","30600","26120"
"In post","2022","65+","West Midlands (England)","795","600","29230","26820"
"In post","2022","65+","Yorkshire and The Humber","735","545","28830","26870"
"In post","2022","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","East Midlands (England)","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","East of England","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","London","25","[c]","22720","21120"
"Leaver CS","2022","16-19","North East (England)","15","[c]","20950","21260"
"Leaver CS","2022","16-19","North West (England)","20","[c]","20990","21260"
"Leaver CS","2022","16-19","Scotland","15","[c]","21330","21160"
"Leaver CS","2022","16-19","South East (England)","20","[c]","21940","21550"
"Leaver CS","2022","16-19","South West (England)","20","[c]","18650","17180"
"Leaver CS","2022","16-19","Unknown","20","[c]","19680","18310"
"Leaver CS","2022","16-19","Wales","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","West Midlands (England)","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Yorkshire and The Humber","20","[c]","21510","20970"
"Leaver CS","2022","20-29","East Midlands (England)","515","[c]","23300","21260"
"Leaver CS","2022","20-29","East of England","545","[c]","25830","24920"
"Leaver CS","2022","20-29","London","3075","[c]","31110","30310"
"Leaver CS","2022","20-29","North East (England)","505","[c]","23360","21260"
"Leaver CS","2022","20-29","North West (England)","995","[c]","24100","21260"
"Leaver CS","2022","20-29","Northern Ireland","45","[c]","24490","21680"
"Leaver CS","2022","20-29","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Scotland","685","[c]","25540","23780"
"Leaver CS","2022","20-29","South East (England)","985","[c]","24880","24370"
"Leaver CS","2022","20-29","South West (England)","1020","[c]","24850","23140"
"Leaver CS","2022","20-29","Unknown","300","[c]","25130","21840"
"Leaver CS","2022","20-29","Wales","555","[c]","24220","21300"
"Leaver CS","2022","20-29","West Midlands (England)","670","[c]","24480","21300"
"Leaver CS","2022","20-29","Yorkshire and The Humber","790","[c]","24340","21680"
"Leaver CS","2022","30-39","East Midlands (England)","390","[c]","28300","27130"
"Leaver CS","2022","30-39","East of England","485","[c]","30420","27570"
"Leaver CS","2022","30-39","London","2180","[c]","42620","39840"
"Leaver CS","2022","30-39","North East (England)","390","[c]","29190","24250"
"Leaver CS","2022","30-39","North West (England)","740","[c]","28430","26420"
"Leaver CS","2022","30-39","Northern Ireland","45","[c]","27960","24880"
"Leaver CS","2022","30-39","Overseas","30","[c]","40990","38860"
"Leaver CS","2022","30-39","Scotland","565","[c]","29930","27570"
"Leaver CS","2022","30-39","South East (England)","745","[c]","30240","27570"
"Leaver CS","2022","30-39","South West (England)","720","[c]","32700","30590"
"Leaver CS","2022","30-39","Unknown","290","[c]","31130","27780"
"Leaver CS","2022","30-39","Wales","385","[c]","29640","27570"
"Leaver CS","2022","30-39","West Midlands (England)","485","[c]","30340","27570"
"Leaver CS","2022","30-39","Yorkshire and The Humber","630","[c]","30940","27570"
"Leaver CS","2022","40-49","East Midlands (England)","300","[c]","29110","27570"
"Leaver CS","2022","40-49","East of England","380","[c]","32200","27570"
"Leaver CS","2022","40-49","London","1405","[c]","49490","45200"
"Leaver CS","2022","40-49","North East (England)","310","[c]","29070","24500"
"Leaver CS","2022","40-49","North West (England)","550","[c]","31710","27570"
"Leaver CS","2022","40-49","Northern Ireland","30","[c]","28680","24880"
"Leaver CS","2022","40-49","Overseas","35","[c]","42340","40120"
"Leaver CS","2022","40-49","Scotland","460","[c]","33880","27570"
"Leaver CS","2022","40-49","South East (England)","630","[c]","33080","29120"
"Leaver CS","2022","40-49","South West (England)","545","[c]","36510","33000"
"Leaver CS","2022","40-49","Unknown","180","[c]","33960","27570"
"Leaver CS","2022","40-49","Wales","255","[c]","32970","26700"
"Leaver CS","2022","40-49","West Midlands (England)","385","[c]","34010","27570"
"Leaver CS","2022","40-49","Yorkshire and The Humber","445","[c]","34910","27570"
"Leaver CS","2022","50-59","East Midlands (England)","485","[c]","31500","27570"
"Leaver CS","2022","50-59","East of England","595","[c]","33910","27900"
"Leaver CS","2022","50-59","London","1385","[c]","48880","41030"
"Leaver CS","2022","50-59","North East (England)","485","[c]","31480","26770"
"Leaver CS","2022","50-59","North West (England)","945","[c]","32430","27570"
"Leaver CS","2022","50-59","Northern Ireland","55","[c]","29980","23380"
"Leaver CS","2022","50-59","Overseas","30","[c]","49930","46600"
"Leaver CS","2022","50-59","Scotland","795","[c]","34170","27570"
"Leaver CS","2022","50-59","South East (England)","945","[c]","32200","27570"
"Leaver CS","2022","50-59","South West (England)","720","[c]","36240","32800"
"Leaver CS","2022","50-59","Unknown","180","[c]","39640","32700"
"Leaver CS","2022","50-59","Wales","395","[c]","34140","27570"
"Leaver CS","2022","50-59","West Midlands (England)","505","[c]","35680","27570"
"Leaver CS","2022","50-59","Yorkshire and The Humber","690","[c]","32740","27570"
"Leaver CS","2022","60-64","East Midlands (England)","345","[c]","31490","27570"
"Leaver CS","2022","60-64","East of England","375","[c]","33600","29290"
"Leaver CS","2022","60-64","London","925","[c]","47860","39950"
"Leaver CS","2022","60-64","North East (England)","485","[c]","30320","27570"
"Leaver CS","2022","60-64","North West (England)","725","[c]","31300","27570"
"Leaver CS","2022","60-64","Northern Ireland","45","[c]","30080","26660"
"Leaver CS","2022","60-64","Overseas","30","[c]","55960","47990"
"Leaver CS","2022","60-64","Scotland","705","[c]","36930","31990"
"Leaver CS","2022","60-64","South East (England)","655","[c]","33300","28350"
"Leaver CS","2022","60-64","South West (England)","575","[c]","36580","33630"
"Leaver CS","2022","60-64","Unknown","145","[c]","35210","30780"
"Leaver CS","2022","60-64","Wales","325","[c]","36330","27570"
"Leaver CS","2022","60-64","West Midlands (England)","390","[c]","31860","27570"
"Leaver CS","2022","60-64","Yorkshire and The Humber","530","[c]","32370","27570"
"Leaver CS","2022","65+","East Midlands (England)","240","[c]","26830","21300"
"Leaver CS","2022","65+","East of England","290","[c]","29950","27130"
"Leaver CS","2022","65+","London","650","[c]","39010","31060"
"Leaver CS","2022","65+","North East (England)","370","[c]","25260","21260"
"Leaver CS","2022","65+","North West (England)","645","[c]","27010","23840"
"Leaver CS","2022","65+","Northern Ireland","40","[c]","25860","22080"
"Leaver CS","2022","65+","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2022","65+","Scotland","510","[c]","30370","26790"
"Leaver CS","2022","65+","South East (England)","585","[c]","28930","26670"
"Leaver CS","2022","65+","South West (England)","470","[c]","32770","27570"
"Leaver CS","2022","65+","Unknown","90","[c]","28680","22690"
"Leaver CS","2022","65+","Wales","275","[c]","30980","26780"
"Leaver CS","2022","65+","West Midlands (England)","285","[c]","28600","26440"
"Leaver CS","2022","65+","Yorkshire and The Humber","390","[c]","27660","26670"
"Leaver CS","2022","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","North East (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","North West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","South West (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","East Midlands (England)","175","[c]","25120","23390"
"Leaver Dept.","2022","20-29","East of England","135","[c]","28200","25620"
"Leaver Dept.","2022","20-29","London","3645","[c]","34420","32330"
"Leaver Dept.","2022","20-29","North East (England)","250","[c]","25640","24950"
"Leaver Dept.","2022","20-29","North West (England)","555","[c]","25610","24890"
"Leaver Dept.","2022","20-29","Northern Ireland","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Overseas","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Scotland","300","[c]","26290","26670"
"Leaver Dept.","2022","20-29","South East (England)","230","[c]","27960","27570"
"Leaver Dept.","2022","20-29","South West (England)","550","[c]","26260","26050"
"Leaver Dept.","2022","20-29","Unknown","300","[c]","32290","32000"
"Leaver Dept.","2022","20-29","Wales","220","[c]","28470","27570"
"Leaver Dept.","2022","20-29","West Midlands (England)","340","[c]","25000","24250"
"Leaver Dept.","2022","20-29","Yorkshire and The Humber","445","[c]","28810","27570"
"Leaver Dept.","2022","30-39","East Midlands (England)","160","[c]","30120","27570"
"Leaver Dept.","2022","30-39","East of England","165","[c]","33340","30760"
"Leaver Dept.","2022","30-39","London","3045","[c]","44650","40780"
"Leaver Dept.","2022","30-39","North East (England)","290","[c]","30260","27570"
"Leaver Dept.","2022","30-39","North West (England)","590","[c]","30400","27570"
"Leaver Dept.","2022","30-39","Northern Ireland","20","[c]","31230","26260"
"Leaver Dept.","2022","30-39","Overseas","25","[c]","[c]","[c]"
