"Status","Year","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","30","30","21220","21510"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","EO","105","100","25290","25010"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","85","80","52190","49040"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","245","235","33160","30660"
"In post","2022","Analysis","Companies House","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","SEO/HEO","20","20","38780","36240"
"In post","2022","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G6/G7","85","80","64210","60210"
"In post","2022","Analysis","Competition and Markets Authority","SCS level","15","15","107070","97750"
"In post","2022","Analysis","Competition and Markets Authority","SEO/HEO","35","35","37830","34870"
"In post","2022","Analysis","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","AA/AO","10","10","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","G6/G7","210","195","50550","47050"
"In post","2022","Analysis","Defence Science and Technology Laboratory","SEO/HEO","290","280","34960","38070"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","35","35","27910","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","65","60","61670","57850"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","140","135","36890","35640"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","75","75","57700","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","60","60","37770","38020"
"In post","2022","Analysis","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","EO","15","15","26930","25000"
"In post","2022","Analysis","Department for Education (excl. agencies)","G6/G7","75","70","54760","53420"
"In post","2022","Analysis","Department for Education (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","SEO/HEO","105","100","38700","40230"
"In post","2022","Analysis","Department for International Trade","EO","30","30","27030","26250"
"In post","2022","Analysis","Department for International Trade","G6/G7","110","110","55890","51970"
"In post","2022","Analysis","Department for International Trade","SCS level","10","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SEO/HEO","105","105","33560","31800"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","25","25","28330","27850"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","110","105","57080","53630"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","80","80","35210","34000"
"In post","2022","Analysis","Department for Transport (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","EO","30","30","29550","29970"
"In post","2022","Analysis","Department for Transport (excl. agencies)","G6/G7","160","150","57610","54760"
"In post","2022","Analysis","Department for Transport (excl. agencies)","SCS level","15","15","77140","77340"
"In post","2022","Analysis","Department for Transport (excl. agencies)","SEO/HEO","135","130","37820","35700"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","AA/AO","50","45","22460","21260"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","EO","35","35","28850","27660"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","G6/G7","200","185","59530","57230"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","SCS level","10","10","78760","78190"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","SEO/HEO","335","325","36380","36480"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","EO","25","20","27000","27270"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","G6/G7","255","245","57620","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","SCS level","20","20","82600","76870"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","SEO/HEO","105","100","35530","32790"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","AA/AO","20","15","21640","21840"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","EO","15","10","26330","26130"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","SEO/HEO","25","25","35250","33350"
"In post","2022","Analysis","Education and Skills Funding Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","G6/G7","10","10","55770","55300"
"In post","2022","Analysis","Food Standards Agency","SEO/HEO","30","30","36520","37350"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","35","35","66800","65590"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","15","15","49780","48860"
"In post","2022","Analysis","Government Actuary's Department","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","EO","10","10","28720","28230"
"In post","2022","Analysis","Government Actuary's Department","G6/G7","120","105","86270","80750"
"In post","2022","Analysis","Government Actuary's Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","SEO/HEO","50","50","40160","38670"
"In post","2022","Analysis","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","EO","10","5","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","G6/G7","20","20","61810","59150"
"In post","2022","Analysis","Health and Safety Executive","SEO/HEO","20","15","35910","34700"
"In post","2022","Analysis","HM Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","EO","10","5","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","G6/G7","20","15","59400","59790"
"In post","2022","Analysis","HM Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","SEO/HEO","30","30","37350","36700"
"In post","2022","Analysis","HM Land Registry","EO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","G6/G7","10","10","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","SEO/HEO","15","15","38400","35560"
"In post","2022","Analysis","HM Prison and Probation Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","AA/AO","10","10","22830","21250"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","EO","40","35","29200","28920"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","G6/G7","250","235","61070","62120"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","SCS level","15","15","81150","79420"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","SEO/HEO","425","410","38030","37930"
"In post","2022","Analysis","HM Treasury (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","EO","10","10","24750","24030"
"In post","2022","Analysis","Intellectual Property Office","G6/G7","10","10","61030","60340"
"In post","2022","Analysis","Intellectual Property Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","SEO/HEO","20","20","35240","32100"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","G6/G7","20","15","55360","53830"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","20","20","37970","40450"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","AA/AO","20","20","21460","21220"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","EO","70","65","28020","27850"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","G6/G7","40","40","60790","60290"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","SEO/HEO","165","160","39140","38500"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","EO","70","65","28070","28310"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","G6/G7","185","175","61250","60280"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","SCS level","10","10","83210","82270"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","SEO/HEO","230","225","39010","41100"
"In post","2022","Analysis","National Savings and Investments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","G6/G7","10","10","56460","53060"
"In post","2022","Analysis","National Savings and Investments","SEO/HEO","15","15","44010","43860"
"In post","2022","Analysis","Office for Budget Responsibility","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","G6/G7","20","20","59500","57060"
"In post","2022","Analysis","Office for Budget Responsibility","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","EO","15","15","25760","25880"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","G6/G7","20","20","63930","59810"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","90","85","35880","33350"
"In post","2022","Analysis","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","EO","45","45","27360","26500"
"In post","2022","Analysis","Office of Gas and Electricity Markets","G6/G7","60","60","58270","58340"
"In post","2022","Analysis","Office of Gas and Electricity Markets","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","SEO/HEO","60","60","35840","35000"
"In post","2022","Analysis","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","G6/G7","25","25","61920","59210"
"In post","2022","Analysis","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","SEO/HEO","15","15","39140","38650"
"In post","2022","Analysis","Office of the Public Guardian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","SEO/HEO","15","15","42320","40340"
"In post","2022","Analysis","Rural Payments Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","EO","20","15","25260","25100"
"In post","2022","Analysis","Rural Payments Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","SEO/HEO","25","25","31930","29690"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","SEO/HEO","35","30","39470","38510"
"In post","2022","Analysis","UK Debt Management Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","G6/G7","15","15","69150","67460"
"In post","2022","Analysis","UK Debt Management Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","G6/G7","10","10","65360","66810"
"In post","2022","Analysis","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","SEO/HEO","15","15","39540","41000"
"In post","2022","Analysis","UK Space Agency","G6/G7","10","10","54480","53380"
"In post","2022","Analysis","UK Space Agency","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","AA/AO","70","65","20130","19860"
"In post","2022","Analysis","UK Statistics Authority","EO","195","180","24700","23880"
"In post","2022","Analysis","UK Statistics Authority","G6/G7","420","405","53820","51210"
"In post","2022","Analysis","UK Statistics Authority","SCS level","35","35","86220","74730"
"In post","2022","Analysis","UK Statistics Authority","SEO/HEO","1255","1210","34580","33710"
"In post","2022","Analysis","Valuation Office Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Valuation Office Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Valuation Office Agency","G6/G7","25","25","59710","57150"
"In post","2022","Analysis","Valuation Office Agency","SEO/HEO","35","35","37450","38040"
"In post","2022","Analysis","Water Services Regulation Authority","EO","10","10","28000","28000"
"In post","2022","Analysis","Water Services Regulation Authority","G6/G7","15","15","87720","82920"
"In post","2022","Analysis","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","SEO/HEO","15","15","49640","48720"
"In post","2022","Analysis","Welsh Revenue Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Revenue Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Animal and Plant Health Agency","AA/AO","20","15","22150","21300"
"In post","2022","Commercial","Animal and Plant Health Agency","EO","10","10","26610","25890"
"In post","2022","Commercial","Animal and Plant Health Agency","G6/G7","10","10","56660","54360"
"In post","2022","Commercial","Animal and Plant Health Agency","SEO/HEO","30","30","35320","35900"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","EO","35","30","26600","27500"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","G6/G7","1245","1230","64860","64500"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","SCS level","240","235","118970","117230"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","SEO/HEO","145","140","38090","38420"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Companies House","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","EO","45","40","26160","25950"
"In post","2022","Commercial","Crown Commercial Service","G6/G7","25","25","51740","51100"
"In post","2022","Commercial","Crown Commercial Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","SEO/HEO","285","280","35550","38330"
"In post","2022","Commercial","Crown Prosecution Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Prosecution Service","G6/G7","10","10","[c]","[c]"
"In post","2022","Commercial","Crown Prosecution Service","SEO/HEO","20","20","35840","38180"
"In post","2022","Commercial","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Defence Electronics and Components Agency","EO","15","15","28940","29470"
"In post","2022","Commercial","Defence Electronics and Components Agency","SEO/HEO","10","10","38120","35100"
"In post","2022","Commercial","Defence Equipment and Support","EO","55","55","25150","26670"
"In post","2022","Commercial","Defence Equipment and Support","G6/G7","130","125","57520","55420"
"In post","2022","Commercial","Defence Equipment and Support","SCS level","10","10","109620","109540"
"In post","2022","Commercial","Defence Equipment and Support","SEO/HEO","245","235","36470","37400"
"In post","2022","Commercial","Defence Science and Technology Laboratory","AA/AO","10","10","26600","19170"
"In post","2022","Commercial","Defence Science and Technology Laboratory","EO","25","20","24120","23490"
"In post","2022","Commercial","Defence Science and Technology Laboratory","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Defence Science and Technology Laboratory","SEO/HEO","40","40","36390","38070"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","10","10","62290","57230"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","25","20","38050","40050"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","G6/G7","10","10","57220","53710"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","SEO/HEO","20","20","34910","34020"
"In post","2022","Commercial","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","EO","30","30","25120","25000"
"In post","2022","Commercial","Department for Education (excl. agencies)","G6/G7","55","55","52570","49970"
"In post","2022","Commercial","Department for Education (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","SEO/HEO","160","155","34770","36500"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","10","10","27140","28170"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","10","10","55690","50530"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","110","100","35720","36070"
"In post","2022","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","SEO/HEO","25","25","37510","38160"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","15","15","38600","39600"
"In post","2022","Commercial","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Transport (excl. agencies)","EO","10","10","26350","26130"
"In post","2022","Commercial","Department for Transport (excl. agencies)","G6/G7","55","55","62090","65440"
"In post","2022","Commercial","Department for Transport (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Transport (excl. agencies)","SEO/HEO","70","70","37120","34880"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","G6/G7","115","110","54250","53360"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","SCS level","40","35","77680","74790"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","SEO/HEO","125","125","38490","40650"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","AA/AO","35","30","20630","21840"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","EO","40","35","26520","26130"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","G6/G7","20","15","56620","54580"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","SEO/HEO","80","75","35020","32180"
