"Status","Year","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Heterosexual / straight","7245","6810","44190","48080"
"In post","2022","Attorney General's Departments","LGBO","475","460","44240","43920"
"In post","2022","Attorney General's Departments","Undeclared","430","405","46370","50500"
"In post","2022","Attorney General's Departments","Unknown","2060","1860","47990","52100"
"In post","2022","Cabinet Office","Heterosexual / straight","5520","5380","47120","40600"
"In post","2022","Cabinet Office","LGBO","570","565","44150","40600"
"In post","2022","Cabinet Office","Undeclared","570","560","47770","42040"
"In post","2022","Cabinet Office","Unknown","4385","4340","46610","34550"
"In post","2022","Chancellor's other departments","Heterosexual / straight","305","295","59810","51150"
"In post","2022","Chancellor's other departments","LGBO","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","Undeclared","80","75","61080","53500"
"In post","2022","Chancellor's other departments","Unknown","25","20","[c]","[c]"
"In post","2022","Charity Commission","Heterosexual / straight","245","230","34960","29160"
"In post","2022","Charity Commission","LGBO","20","20","[c]","[c]"
"In post","2022","Charity Commission","Undeclared","15","10","[c]","[c]"
"In post","2022","Charity Commission","Unknown","190","180","32890","29160"
"In post","2022","Competition and Markets Authority","Heterosexual / straight","700","675","60890","56630"
"In post","2022","Competition and Markets Authority","LGBO","60","60","59140","56110"
"In post","2022","Competition and Markets Authority","Undeclared","70","65","63140","60850"
"In post","2022","Competition and Markets Authority","Unknown","30","30","70220","62980"
"In post","2022","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","9775","9375","42500","40040"
"In post","2022","Department for Business, Energy and Industrial Strategy","LGBO","860","845","41740","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Undeclared","1320","1260","43450","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Unknown","2120","2020","35850","31880"
"In post","2022","Department for Digital, Culture, Media and Sport","Heterosexual / straight","1490","1465","47390","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","LGBO","215","215","45920","51400"
"In post","2022","Department for Digital, Culture, Media and Sport","Undeclared","145","145","44510","38020"
"In post","2022","Department for Digital, Culture, Media and Sport","Unknown","160","155","46680","49300"
"In post","2022","Department for Education","Heterosexual / straight","6315","6085","43580","40230"
"In post","2022","Department for Education","LGBO","520","510","42940","37100"
"In post","2022","Department for Education","Undeclared","610","590","44030","40300"
"In post","2022","Department for Education","Unknown","1250","1205","43510","40230"
"In post","2022","Department for Environment, Food and Rural Affairs","Heterosexual / straight","8275","7885","36880","33090"
"In post","2022","Department for Environment, Food and Rural Affairs","LGBO","695","675","36210","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","980","930","36520","33720"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","2840","2670","32240","28270"
"In post","2022","Department for International Trade","Heterosexual / straight","1740","1715","47330","44030"
"In post","2022","Department for International Trade","LGBO","200","200","45830","40600"
"In post","2022","Department for International Trade","Undeclared","150","145","46560","44030"
"In post","2022","Department for International Trade","Unknown","790","790","45180","39440"
"In post","2022","Department for Levelling Up, Housing and Communities","Heterosexual / straight","2970","2860","45750","42130"
"In post","2022","Department for Levelling Up, Housing and Communities","LGBO","330","330","43760","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Undeclared","285","275","45190","42060"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","570","540","42740","38330"
"In post","2022","Department for Transport","Heterosexual / straight","10435","9780","34350","29460"
"In post","2022","Department for Transport","LGBO","660","640","35560","30730"
"In post","2022","Department for Transport","Undeclared","2720","2380","30360","26780"
"In post","2022","Department for Transport","Unknown","2580","2445","31080","26700"
"In post","2022","Department for Work and Pensions","Heterosexual / straight","64140","58070","28760","27570"
"In post","2022","Department for Work and Pensions","LGBO","4025","3850","28470","27570"
"In post","2022","Department for Work and Pensions","Undeclared","7815","6975","28370","27570"
"In post","2022","Department for Work and Pensions","Unknown","18175","15760","27660","27570"
"In post","2022","Department of Health and Social Care","Heterosexual / straight","6825","6425","43910","40060"
"In post","2022","Department of Health and Social Care","LGBO","605","585","42660","38020"
"In post","2022","Department of Health and Social Care","Undeclared","2270","2160","45910","40650"
"In post","2022","Department of Health and Social Care","Unknown","2110","2020","49330","42480"
"In post","2022","Estyn","Heterosexual / straight","95","90","59530","75480"
"In post","2022","Estyn","LGBO","5","5","[c]","[c]"
"In post","2022","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Unknown","10","10","[c]","[c]"
"In post","2022","Food Standards Agency","Heterosexual / straight","1025","1000","38430","37350"
"In post","2022","Food Standards Agency","LGBO","70","70","40540","37350"
"In post","2022","Food Standards Agency","Undeclared","125","125","38870","37350"
"In post","2022","Food Standards Agency","Unknown","235","225","32490","27990"
"In post","2022","Foreign, Commonwealth and Development Office","Heterosexual / straight","5760","5620","47820","43300"
"In post","2022","Foreign, Commonwealth and Development Office","LGBO","405","405","47880","44770"
"In post","2022","Foreign, Commonwealth and Development Office","Undeclared","635","620","48970","44640"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","1445","1415","47730","48500"
"In post","2022","HM Land Registry","Heterosexual / straight","3965","3605","32240","27130"
"In post","2022","HM Land Registry","LGBO","175","170","30220","27130"
"In post","2022","HM Land Registry","Undeclared","650","570","33080","31740"
"In post","2022","HM Land Registry","Unknown","1840","1695","28790","27130"
"In post","2022","HM Revenue and Customs","Heterosexual / straight","41800","38960","34750","33080"
"In post","2022","HM Revenue and Customs","LGBO","2820","2725","33880","31900"
"In post","2022","HM Revenue and Customs","Undeclared","4955","4525","35250","33370"
"In post","2022","HM Revenue and Customs","Unknown","21795","20120","30330","26820"
"In post","2022","HM Treasury","Heterosexual / straight","2090","2030","48280","49500"
"In post","2022","HM Treasury","LGBO","210","205","46210","44940"
"In post","2022","HM Treasury","Undeclared","290","285","45810","43160"
"In post","2022","HM Treasury","Unknown","180","175","55110","50440"
"In post","2022","Home Office","Heterosexual / straight","27015","25200","32580","28650"
"In post","2022","Home Office","LGBO","1185","1145","33810","28670"
"In post","2022","Home Office","Undeclared","3905","3595","33220","28850"
"In post","2022","Home Office","Unknown","4435","4285","32340","27370"
"In post","2022","Ministry of Defence","Heterosexual / straight","40315","38935","34130","32630"
"In post","2022","Ministry of Defence","LGBO","1455","1430","33580","31600"
"In post","2022","Ministry of Defence","Undeclared","5905","5695","35430","33300"
"In post","2022","Ministry of Defence","Unknown","10150","9840","36810","34460"
"In post","2022","Ministry of Justice","Heterosexual / straight","60730","56995","30660","27980"
"In post","2022","Ministry of Justice","LGBO","4250","4140","30890","28010"
"In post","2022","Ministry of Justice","Undeclared","6795","6310","31580","28800"
"In post","2022","Ministry of Justice","Unknown","15125","14035","29020","26950"
"In post","2022","National Crime Agency","Heterosexual / straight","4265","4155","40750","37790"
"In post","2022","National Crime Agency","LGBO","220","215","37860","36410"
"In post","2022","National Crime Agency","Undeclared","360","355","39640","37390"
"In post","2022","National Crime Agency","Unknown","705","680","41710","39840"
"In post","2022","Northern Ireland Office","Heterosexual / straight","105","105","46390","41750"
"In post","2022","Northern Ireland Office","LGBO","5","5","[c]","[c]"
"In post","2022","Northern Ireland Office","Undeclared","5","5","[c]","[c]"
"In post","2022","Northern Ireland Office","Unknown","60","60","45090","39230"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","1505","1455","51180","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","LGBO","125","120","49730","46360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Undeclared","100","95","47480","39850"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Unknown","100","95","40710","35010"
"In post","2022","Office of Gas and Electricity Markets","Heterosexual / straight","705","690","41730","35050"
"In post","2022","Office of Gas and Electricity Markets","LGBO","95","95","36120","30950"
"In post","2022","Office of Gas and Electricity Markets","Undeclared","75","75","42610","38500"
"In post","2022","Office of Gas and Electricity Markets","Unknown","475","465","47720","43650"
"In post","2022","Office of Qualifications and Examinations Regulation","Heterosexual / straight","195","190","43980","38760"
"In post","2022","Office of Qualifications and Examinations Regulation","LGBO","10","10","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Undeclared","25","25","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Unknown","60","55","49740","46660"
"In post","2022","Office of Rail and Road","Heterosexual / straight","220","210","52910","51660"
"In post","2022","Office of Rail and Road","LGBO","25","25","[c]","[c]"
"In post","2022","Office of Rail and Road","Undeclared","35","35","53220","55430"
"In post","2022","Office of Rail and Road","Unknown","70","70","59670","60020"
"In post","2022","Office of the Secretary of State for Scotland","Heterosexual / straight","55","50","50770","49860"
"In post","2022","Office of the Secretary of State for Scotland","LGBO","5","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Undeclared","5","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Unknown","55","55","45540","41750"
"In post","2022","Office of the Secretary of State for Wales","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","LGBO","5","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Unknown","10","10","[c]","[c]"
"In post","2022","Scottish Government","Heterosexual / straight","13765","13150","39560","35000"
"In post","2022","Scottish Government","LGBO","1125","1100","36430","31540"
"In post","2022","Scottish Government","Undeclared","875","835","40760","36130"
"In post","2022","Scottish Government","Unknown","9565","9005","33950","30450"
"In post","2022","The National Archives","Heterosexual / straight","250","240","37280","34260"
"In post","2022","The National Archives","LGBO","40","40","30820","29350"
"In post","2022","The National Archives","Undeclared","60","60","35260","30830"
"In post","2022","The National Archives","Unknown","225","215","34990","32640"
"In post","2022","UK Export Finance","Heterosexual / straight","410","405","52180","47190"
"In post","2022","UK Export Finance","LGBO","25","25","[c]","[c]"
"In post","2022","UK Export Finance","Undeclared","30","30","55000","49200"
"In post","2022","UK Export Finance","Unknown","25","25","[c]","[c]"
"In post","2022","UK Statistics Authority","Heterosexual / straight","3960","3535","34020","30710"
"In post","2022","UK Statistics Authority","LGBO","285","270","34390","30710"
"In post","2022","UK Statistics Authority","Undeclared","250","225","33690","30810"
"In post","2022","UK Statistics Authority","Unknown","1390","1240","33000","30210"
"In post","2022","UK Supreme Court","Heterosexual / straight","40","35","40730","32230"
"In post","2022","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Unknown","5","5","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Heterosexual / straight","160","155","55160","49970"
"In post","2022","Water Services Regulation Authority","LGBO","10","10","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Undeclared","20","20","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Unknown","65","60","53260","48270"
"In post","2022","Welsh Government","Heterosexual / straight","4800","4530","41770","38160"
"In post","2022","Welsh Government","LGBO","240","230","42590","38160"
"In post","2022","Welsh Government","Undeclared","695","655","43120","38160"
"In post","2022","Welsh Government","Unknown","230","220","41670","35180"
"Leaver CS","2022","Attorney General's Departments","Heterosexual / straight","460","[c]","42930","40800"
"Leaver CS","2022","Attorney General's Departments","LGBO","40","[c]","39940","36530"
"Leaver CS","2022","Attorney General's Departments","Undeclared","35","[c]","48150","52300"
"Leaver CS","2022","Attorney General's Departments","Unknown","130","[c]","48240","51790"
"Leaver CS","2022","Cabinet Office","Heterosexual / straight","380","[c]","47630","40600"
"Leaver CS","2022","Cabinet Office","LGBO","40","[c]","48810","43890"
"Leaver CS","2022","Cabinet Office","Undeclared","35","[c]","47580","52630"
"Leaver CS","2022","Cabinet Office","Unknown","360","[c]","51850","43080"
"Leaver CS","2022","Chancellor's other departments","Heterosexual / straight","35","[c]","52650","46640"
"Leaver CS","2022","Chancellor's other departments","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Unknown","35","[c]","36740","29380"
"Leaver CS","2022","Competition and Markets Authority","Heterosexual / straight","80","[c]","53800","54320"
"Leaver CS","2022","Competition and Markets Authority","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","445","[c]","40520","38040"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","LGBO","50","[c]","40090","33610"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Undeclared","95","[c]","39730","38310"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Unknown","245","[c]","31940","26200"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Heterosexual / straight","105","[c]","42550","36000"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Heterosexual / straight","280","[c]","43320","36980"
"Leaver CS","2022","Department for Education","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2022","Department for Education","Undeclared","30","[c]","42280","38150"
"Leaver CS","2022","Department for Education","Unknown","115","[c]","38620","35620"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Heterosexual / straight","530","[c]","30030","25100"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","LGBO","60","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Undeclared","65","[c]","31100","28320"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Unknown","290","[c]","27760","24920"
"Leaver CS","2022","Department for International Trade","Heterosexual / straight","100","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Unknown","100","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Heterosexual / straight","165","[c]","44910","39910"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","Unknown","40","[c]","35720","30500"
"Leaver CS","2022","Department for Transport","Heterosexual / straight","660","[c]","33750","26840"
"Leaver CS","2022","Department for Transport","LGBO","50","[c]","30000","26780"
"Leaver CS","2022","Department for Transport","Undeclared","215","[c]","28710","26780"
"Leaver CS","2022","Department for Transport","Unknown","360","[c]","28130","26130"
"Leaver CS","2022","Department for Work and Pensions","Heterosexual / straight","5785","[c]","27370","27570"
"Leaver CS","2022","Department for Work and Pensions","LGBO","495","[c]","26870","27570"
"Leaver CS","2022","Department for Work and Pensions","Undeclared","635","[c]","28070","27570"
"Leaver CS","2022","Department for Work and Pensions","Unknown","1960","[c]","26970","27570"
"Leaver CS","2022","Department of Health and Social Care","Heterosexual / straight","1870","[c]","41390","36330"
"Leaver CS","2022","Department of Health and Social Care","LGBO","135","[c]","37930","29270"
"Leaver CS","2022","Department of Health and Social Care","Undeclared","730","[c]","42910","37480"
"Leaver CS","2022","Department of Health and Social Care","Unknown","475","[c]","50090","41520"
"Leaver CS","2022","Estyn","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Heterosexual / straight","55","[c]","35080","30810"
"Leaver CS","2022","Food Standards Agency","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Heterosexual / straight","140","[c]","46720","39600"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Unknown","260","[c]","47700","41740"
"Leaver CS","2022","HM Land Registry","Heterosexual / straight","225","[c]","33790","30600"
"Leaver CS","2022","HM Land Registry","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","Undeclared","30","[c]","34450","32220"
"Leaver CS","2022","HM Land Registry","Unknown","135","[c]","31200","27130"
"Leaver CS","2022","HM Revenue and Customs","Heterosexual / straight","245","[c]","31450","26820"
"Leaver CS","2022","HM Revenue and Customs","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","Undeclared","45","[c]","33350","28920"
"Leaver CS","2022","HM Revenue and Customs","Unknown","4675","[c]","28880","22080"
"Leaver CS","2022","HM Treasury","Heterosexual / straight","175","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","Home Office","Heterosexual / straight","1445","[c]","31970","26900"
"Leaver CS","2022","Home Office","LGBO","75","[c]","31170","25630"
"Leaver CS","2022","Home Office","Undeclared","255","[c]","33000","28670"
"Leaver CS","2022","Home Office","Unknown","320","[c]","30960","27370"
"Leaver CS","2022","Ministry of Defence","Heterosexual / straight","3365","[c]","32430","29230"
"Leaver CS","2022","Ministry of Defence","LGBO","120","[c]","31480","26670"
"Leaver CS","2022","Ministry of Defence","Undeclared","575","[c]","34170","33300"
"Leaver CS","2022","Ministry of Defence","Unknown","985","[c]","32370","30370"
"Leaver CS","2022","Ministry of Justice","Heterosexual / straight","5830","[c]","27960","21490"
"Leaver CS","2022","Ministry of Justice","LGBO","515","[c]","26120","21170"
"Leaver CS","2022","Ministry of Justice","Undeclared","585","[c]","28210","21400"
"Leaver CS","2022","Ministry of Justice","Unknown","2850","[c]","24890","21090"
"Leaver CS","2022","National Crime Agency","Heterosexual / straight","245","[c]","41910","39730"
"Leaver CS","2022","National Crime Agency","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","National Crime Agency","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2022","National Crime Agency","Unknown","45","[c]","45580","39550"
"Leaver CS","2022","Northern Ireland Office","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","145","[c]","52820","51360"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Office of Gas and Electricity Markets","Heterosexual / straight","125","[c]","41910","36940"
"Leaver CS","2022","Office of Gas and Electricity Markets","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Office of Gas and Electricity Markets","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Office of Gas and Electricity Markets","Unknown","85","[c]","51120","46250"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Government","Heterosexual / straight","525","[c]","39090","35000"
"Leaver CS","2022","Scottish Government","LGBO","40","[c]","33750","30760"
"Leaver CS","2022","Scottish Government","Undeclared","35","[c]","35110","35000"
"Leaver CS","2022","Scottish Government","Unknown","830","[c]","33370","30020"
"Leaver CS","2022","The National Archives","Heterosexual / straight","30","[c]","31110","28460"
"Leaver CS","2022","The National Archives","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","Heterosexual / straight","35","[c]","48970","47000"
"Leaver CS","2022","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Statistics Authority","Heterosexual / straight","330","[c]","27590","23050"
"Leaver CS","2022","UK Statistics Authority","LGBO","35","[c]","34230","30460"
"Leaver CS","2022","UK Statistics Authority","Undeclared","30","[c]","28730","23880"
"Leaver CS","2022","UK Statistics Authority","Unknown","180","[c]","28320","23630"
"Leaver CS","2022","UK Supreme Court","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government","Heterosexual / straight","200","[c]","42130","37410"
"Leaver CS","2022","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2022","Welsh Government","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Heterosexual / straight","175","[c]","41520","31600"
"Leaver Dept.","2022","Attorney General's Departments","LGBO","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Departments","Unknown","65","[c]","46240","50500"
"Leaver Dept.","2022","Cabinet Office","Heterosexual / straight","850","[c]","45890","40410"
"Leaver Dept.","2022","Cabinet Office","LGBO","90","[c]","42080","37300"
"Leaver Dept.","2022","Cabinet Office","Undeclared","100","[c]","42650","34850"
"Leaver Dept.","2022","Cabinet Office","Unknown","835","[c]","38090","32000"
"Leaver Dept.","2022","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Heterosexual / straight","35","[c]","36220","31320"
"Leaver Dept.","2022","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","515","[c]","43770","40050"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","LGBO","80","[c]","42230","40050"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Undeclared","60","[c]","42750","40050"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy","Unknown","140","[c]","36030","33570"
